event_type,event_timestamp,example_number,prompt_tokens,completion_tokens,total_tokens,llm_name,tool_name,function_name,function_id,parent_function_name,parent_function_id,UUID,framework,NOVA-Event-ID,NOVA-Requests-Remaining-In-Event,NOVA-Time-To-Next-Event,NOVA-Time-To-Event-End,NOVA-Predicted-OSL,NOVA-Time-To-Session-End
LLM_NEW_TOKEN,1765872294.049522,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5083.761692047119,11743.071556091309,,13643.890380859375
LLM_NEW_TOKEN,1765872294.0504396,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5082.844018936157,11742.153882980347,,13642.972707748413
LLM_NEW_TOKEN,1765872294.0592413,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5074.042320251465,11733.352184295654,,13634.17100906372
LLM_NEW_TOKEN,1765872294.0594826,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5073.801040649414,11733.110904693604,,13633.92972946167
LLM_NEW_TOKEN,1765872294.0715504,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5061.733245849609,11721.043109893799,,13621.861934661865
LLM_NEW_TOKEN,1765872294.0717976,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5061.486005783081,11720.79586982727,,13621.614694595337
LLM_NEW_TOKEN,1765872294.0806587,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5052.624940872192,11711.934804916382,,13612.753629684448
LLM_NEW_TOKEN,1765872294.0808659,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5052.417755126953,11711.727619171143,,13612.546443939209
LLM_NEW_TOKEN,1765872294.0879638,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5045.3197956085205,11704.62965965271,,13605.448484420776
LLM_NEW_TOKEN,1765872294.0882032,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5045.0804233551025,11704.390287399292,,13605.209112167358
LLM_NEW_TOKEN,1765872294.0987358,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5034.547805786133,11693.857669830322,,13594.676494598389
LLM_NEW_TOKEN,1765872294.0989726,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5034.311056137085,11693.620920181274,,13594.43974494934
LLM_NEW_TOKEN,1765872294.1153953,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5017.888307571411,11677.1981716156,,13578.016996383667
LLM_NEW_TOKEN,1765872294.1157758,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5017.507791519165,11676.817655563354,,13577.63648033142
LLM_NEW_TOKEN,1765872294.1247358,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5008.547782897949,11667.857646942139,,13568.676471710205
LLM_NEW_TOKEN,1765872294.1249766,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,5008.306980133057,11667.616844177246,,13568.435668945312
LLM_NEW_TOKEN,1765872294.1398916,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,4993.391990661621,11652.70185470581,,13553.520679473877
LLM_NEW_TOKEN,1765872294.1401424,0,0,0,0,,,<workflow>,112b5f76-ab79-4592-a8cb-d8d47c2aff6f,root,root,5b7dc04c-c9ab-48c4-8861-4279a684b4f0,langchain,<workflow>,3.0,4993.141174316406,11652.451038360596,,13553.269863128662
